kawalcovid_provinsi,time,harian,lat_pulau_terbesar,lon_pulau_terbesar
Bali,7/26/2020,43,-8.355988108,115.1164467
Bali,7/27/2020,62,-8.355988108,115.1164467
Bali,7/28/2020,30,-8.355988108,115.1164467
Bali,7/29/2020,61,-8.355988108,115.1164467
Bali,7/30/2020,50,-8.355988108,115.1164467
Bali,7/31/2020,47,-8.355988108,115.1164467
Bali,8/1/2020,41,-8.355988108,115.1164467
Bali,8/2/2020,40,-8.355988108,115.1164467
Bali,8/3/2020,41,-8.355988108,115.1164467
Bali,8/4/2020,49,-8.355988108,115.1164467
Bali,8/5/2020,39,-8.355988108,115.1164467
Bali,8/6/2020,27,-8.355988108,115.1164467
Bali,8/7/2020,38,-8.355988108,115.1164467
Bali,8/8/2020,38,-8.355988108,115.1164467
Bali,8/9/2020,59,-8.355988108,115.1164467
Bali,8/10/2020,38,-8.355988108,115.1164467
Bali,8/11/2020,45,-8.355988108,115.1164467
Bali,8/12/2020,30,-8.355988108,115.1164467
Bali,8/13/2020,35,-8.355988108,115.1164467
Bali,8/14/2020,53,-8.355988108,115.1164467
Bali,8/15/2020,44,-8.355988108,115.1164467
Bali,8/16/2020,41,-8.355988108,115.1164467
Bali,8/17/2020,45,-8.355988108,115.1164467
Bali,8/18/2020,48,-8.355988108,115.1164467
Bali,8/19/2020,62,-8.355988108,115.1164467
Bali,8/20/2020,72,-8.355988108,115.1164467
Bali,8/21/2020,76,-8.355988108,115.1164467
Bali,8/22/2020,78,-8.355988108,115.1164467
Bali,8/23/2020,67,-8.355988108,115.1164467
Bali,8/24/2020,63,-8.355988108,115.1164467
Bali,8/25/2020,74,-8.355988108,115.1164467
Bali,8/26/2020,76,-8.355988108,115.1164467
Bali,8/27/2020,82,-8.355988108,115.1164467
Bali,8/28/2020,93,-8.355988108,115.1164467
Bali,8/29/2020,88,-8.355988108,115.1164467
Bali,8/30/2020,89,-8.355988108,115.1164467
Bali,8/31/2020,129,-8.355988108,115.1164467
Bali,9/1/2020,160,-8.355988108,115.1164467
Bali,9/2/2020,169,-8.355988108,115.1164467
Bali,9/3/2020,174,-8.355988108,115.1164467
Bali,9/4/2020,196,-8.355988108,115.1164467
Bali,9/5/2020,165,-8.355988108,115.1164467
Bali,9/6/2020,141,-8.355988108,115.1164467
Bali,9/7/2020,173,-8.355988108,115.1164467
Bali,9/8/2020,164,-8.355988108,115.1164467
Bali,9/9/2020,174,-8.355988108,115.1164467
Bali,9/10/2020,111,-8.355988108,115.1164467
Bali,9/11/2020,144,-8.355988108,115.1164467
Bali,9/12/2020,135,-8.355988108,115.1164467
Bali,9/13/2020,113,-8.355988108,115.1164467
Bali,9/14/2020,86,-8.355988108,115.1164467
Bali,9/15/2020,68,-8.355988108,115.1164467
Bali,9/16/2020,49,-8.355988108,115.1164467
Bali,9/17/2020,63,-8.355988108,115.1164467
Bali,9/18/2020,51,-8.355988108,115.1164467
Bali,9/19/2020,85,-8.355988108,115.1164467
Bali,9/20/2020,121,-8.355988108,115.1164467
Bali,9/21/2020,139,-8.355988108,115.1164467
Bali,9/22/2020,108,-8.355988108,115.1164467
Bali,9/23/2020,130,-8.355988108,115.1164467
Bali,9/24/2020,119,-8.355988108,115.1164467
Bali,9/25/2020,144,-8.355988108,115.1164467
Bali,9/26/2020,63,-8.355988108,115.1164467
Bali,9/27/2020,80,-8.355988108,115.1164467
Bali,9/28/2020,107,-8.355988108,115.1164467
Bali,9/29/2020,106,-8.355988108,115.1164467
Bali,9/30/2020,133,-8.355988108,115.1164467
Bali,10/1/2020,141,-8.355988108,115.1164467
Bali,10/2/2020,130,-8.355988108,115.1164467
